Symbol,Exchange
^SPCSESP,SNP
^SPCEESEN,SNP
^NQUSS20,NIM
Q3GX.Z,ZRH
^NQUSB3010LMT,NIM
^UJB-TC,ASE
SSALFA.FGI,FGI
^NQUSHEIN,NIM
DE000SL0AQR4.SG,STU
^NQEMEU4050N,NIM
Q5F1.Z,ZRH
^KSTAPLEN,SNP
DE000SL0AW63.SG,STU
Q17Z.Z,ZRH
^SP400-15104010,SNP
^SPX,WCB
DE000SL0GLP6.SG,STU
^CGIE-TC,ASE
TXDE.TS,TSI
A1X2.Z,ZRH
SFF05D.SW,EBS
^DES-EU,ASE
^NQEM,NIM
^NQEMASIA4040LM,NIM
^XSMO-EU,ASE
DE000SL0F484.SG,STU
^NQNA3030LM,NIM
^SPBW-NV,ASE
